Date;Open;High;Low;Close     ;Adj Close    ;Volume
Apr 2, 2024;12,600.00;12,700.00;12,350.00;12,700.00;12,700.00;12,711,700
Apr 1, 2024;13,050.00;13,100.00;12,650.00;12,650.00;12,650.00;13,128,500
Mar 29, 2024;12,850.00;13,200.00;12,750.00;13,050.00;13,050.00;14,467,200
Mar 28, 2024;12,550.00;13,050.00;12,550.00;12,950.00;12,950.00;22,871,900
Mar 27, 2024;12,650.00;12,650.00;12,450.00;12,550.00;12,550.00;4,119,900
Mar 26, 2024;12,400.00;12,800.00;12,300.00;12,600.00;12,600.00;7,379,600
Mar 25, 2024;12,500.00;12,600.00;12,350.00;12,450.00;12,450.00;8,914,300
Mar 22, 2024;12,750.00;12,800.00;12,350.00;12,450.00;12,450.00;12,496,100
Mar 21, 2024;12,850.00;12,850.00;12,600.00;12,700.00;12,700.00;10,424,200
Mar 20, 2024;11,950.00;12,650.00;11,750.00;12,650.00;12,650.00;27,279,100
Mar 19, 2024;11,750.00;12,000.00;11,650.00;11,850.00;11,850.00;6,457,700
Mar 18, 2024;12,300.00;12,400.00;11,450.00;11,750.00;11,750.00;27,886,800
Mar 15, 2024;12,500.00;12,550.00;12,300.00;12,300.00;12,300.00;9,089,900
Mar 14, 2024;12,550.00;12,800.00;12,300.00;12,500.00;12,500.00;16,439,700
Mar 13, 2024;12,500.00;12,550.00;12,300.00;12,450.00;12,450.00;8,590,200
Mar 12, 2024;12,150.00;12,600.00;12,100.00;12,400.00;12,400.00;14,819,500
Mar 11, 2024;12,600.00;12,600.00;12,200.00;12,200.00;12,200.00;17,672,600
Mar 8, 2024;12,950.00;13,050.00;12,450.00;12,550.00;12,550.00;21,627,800
Mar 7, 2024;12,900.00;13,150.00;12,800.00;12,950.00;12,950.00;12,926,800
Mar 6, 2024;13,300.00;13,300.00;12,850.00;12,900.00;12,900.00;10,759,000
Mar 5, 2024;12,900.00;13,200.00;12,600.00;13,200.00;13,200.00;28,418,900
Mar 4, 2024;12,750.00;13,050.00;12,600.00;12,800.00;12,800.00;16,451,900
Mar 1, 2024;12,850.00;12,900.00;12,650.00;12,700.00;12,700.00;6,677,400
Feb 29, 2024;12,600.00;12,800.00;12,250.00;12,800.00;12,800.00;16,398,600
Feb 28, 2024;12,800.00;12,850.00;12,500.00;12,550.00;12,550.00;8,031,400
Feb 27, 2024;12,700.00;12,950.00;12,500.00;12,650.00;12,650.00;8,634,400
Feb 26, 2024;12,250.00;12,650.00;12,100.00;12,600.00;12,600.00;12,036,900
